,T1,T2,C3,C4
150887,0.1553599463241811,0.13092727646273247,0.1600576227541943,0.11372679394933904
150891,0.2365435578343971,0.21766443633575222,0.15589332595328373,0.17451178694191094
150892,0.42877782544740306,0.45504001389930465,0.36620048490579227,0.41317740625242666
150898,-0.004515379979599879,0.00994417765153759,0.04162936103996796,0.042889254825518634
150900,0.3521675809355402,0.38605852426133147,0.18099233596904277,0.1800603007167079
150901,0.04896515233881811,0.04819764124208521,0.06546535051547314,0.06604702532027465
150902,1.0389793534464615,1.0961450793734677,0.8334299966482845,0.8707563783924563
150903,0.06259676823455709,0.1454193738850244,0.11500462138016807,0.1068562873114167
150904,0.08104353119171626,0.0806708014073235,0.11415931217157516,0.12384977472234358
150905,0.09196259217006575,0.04534973972177002,0.07710853370756374,0.10284740726335612
150906,0.17501342234299444,0.13382683492396685,0.11276494226841932,0.10039983147506946
150907,0.9756570413274083,0.9175427483704692,0.5851872097109684,0.6116835599511847
150908,0.16181523011252816,0.14337489770587009,0.1525656332230123,0.15782940490269645
150910,0.39600687801467516,0.40874132250724815,0.32425818487488667,0.2928734862850113
150911,0.10316166550821995,0.05512496256223198,0.11865648786607674,0.08746637200618816
150912,0.4044893660851609,0.4258411096206248,0.22049743903205823,0.2834793714719268
150913,0.19711871365245603,0.17047674815533748,0.16968892984846287,0.20068293644166713
150914,0.40021044657475724,0.4028357969078205,0.23642269790095316,0.18722623855992343
150916,0.20761257165173674,0.19606638102803653,0.17216516782015703,0.15279973517215728
150917,0.10287714793751229,0.0681118743736133,0.08524802840021661,0.06146961178581749
150918,0.25653780219390865,0.30184196584768175,0.24078519437369672,0.2531508084115245
150919,0.45540974280791924,0.4334543321383316,0.29975394125817534,0.2829279100932852
150920,0.16720151868274902,0.19987845277303268,0.16471150088094352,0.17702707857936567
150921,0.19972322619518798,0.173693903336397,0.1259141208571183,0.11772466212418584
150922,0.20722888478524856,0.20498365619286668,0.11341675467182505,0.1615731986448815
150923,0.38041559597527375,0.31913221854678087,0.3119339082778251,0.2854764416072611
150924,0.4557478093966688,0.4929956920596349,0.34424602225465767,0.3369184538404645
150925,0.10227433585405221,0.16709330616049053,0.0845792195849147,0.09187690113295618
150927,0.2206414026330608,0.2800288414130957,0.2273620282523906,0.25796295307905237
150928,0.22086317510187292,0.24428937352784175,0.2630568683951874,0.20590480081641066
150931,0.16169081572067806,0.16980690763003392,0.10459137777338157,0.12740430621528864
150932,0.24095775455226764,0.2776437832434753,0.1561438199676332,0.13066765617831527
150933,0.18124161597276542,0.21742889161789736,0.18712198870013003,0.193263072339383
150935,0.2315438573181511,0.21202616852365375,0.1566286488396577,0.19483496786752208
150938,0.16709185346978883,0.15245659986498983,0.12445885418984995,0.1128715053649648
150939,0.5408950362751241,0.48826571445495237,0.31409100696611664,0.3034395107539656
150942,0.05419622941290002,0.06239923875607768,0.13605320387784173,0.10594755708227334
150944,0.36069818412332144,0.293024216209946,0.1502177066236186,0.1902416459085446
150949,0.23933509382323045,0.20611157822841855,0.18146421996325446,0.17241508593276297
